0061 	0041 	LATIN SMALL LETTER A 	LATIN CAPITAL LETTER A
1EA7 	1EA6 	LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE 	LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE
1EA9 	1EA8 	LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE 	LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
1EAB 	1EAA 	LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE 	LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE
1EAD 	1EAC 	LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW 	LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW
1EAF 	1EAE 	LATIN SMALL LETTER A WITH BREVE AND ACUTE 	LATIN CAPITAL LETTER A WITH BREVE AND ACUTE
1EB1 	1EB0 	LATIN SMALL LETTER A WITH BREVE AND GRAVE 	LATIN CAPITAL LETTER A WITH BREVE AND GRAVE
1EB3 	1EB2 	LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE 	LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE
1EB5 	1EB4 	LATIN SMALL LETTER A WITH BREVE AND TILDE 	LATIN CAPITAL LETTER A WITH BREVE AND TILDE
1EB7 	1EB6 	LATIN SMALL LETTER A WITH BREVE AND DOT BELOW 	LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW
1EB9 	1EB8 	LATIN SMALL LETTER E WITH DOT BELOW 	LATIN CAPITAL LETTER E WITH DOT BELOW
1EBB 	1EBA 	LATIN SMALL LETTER E WITH HOOK ABOVE 	LATIN CAPITAL LETTER E WITH HOOK ABOVE
1EBD 	1EBC 	LATIN SMALL LETTER E WITH TILDE 	LATIN CAPITAL LETTER E WITH TILDE
1EBF 	1EBE 	LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE 	LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE
1EC1 	1EC0 	LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE 	LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE
1EC3 	1EC2 	LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE 	LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
1EC5 	1EC4 	LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE 	LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE
1EC7 	1EC6 	LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW 	LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW
1EC9 	1EC8 	LATIN SMALL LETTER I WITH HOOK ABOVE 	LATIN CAPITAL LETTER I WITH HOOK ABOVE
1ECB 	1ECA 	LATIN SMALL LETTER I WITH DOT BELOW 	LATIN CAPITAL LETTER I WITH DOT BELOW
1ECD 	1ECC 	LATIN SMALL LETTER O WITH DOT BELOW 	LATIN CAPITAL LETTER O WITH DOT BELOW
1ECF 	1ECE 	LATIN SMALL LETTER O WITH HOOK ABOVE 	LATIN CAPITAL LETTER O WITH HOOK ABOVE
1ED1 	1ED0 	LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACUTE 	LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE
1ED3 	1ED2 	LATIN SMALL LETTER O WITH CIRCUMFLEX AND GRAVE 	LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE
1ED5 	1ED4 	LATIN SMALL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE 	LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
1ED7 	1ED6 	LATIN SMALL LETTER O WITH CIRCUMFLEX AND TILDE 	LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE
1ED9 	1ED8 	LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW 	LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW
1EDB 	1EDA 	LATIN SMALL LETTER O WITH HORN AND ACUTE 	LATIN CAPITAL LETTER O WITH HORN AND ACUTE
1EDD 	1EDC 	LATIN SMALL LETTER O WITH HORN AND GRAVE 	LATIN CAPITAL LETTER O WITH HORN AND GRAVE
1EDF 	1EDE 	LATIN SMALL LETTER O WITH HORN AND HOOK ABOVE 	LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE
1EE1 	1EE0 	LATIN SMALL LETTER O WITH HORN AND TILDE 	LATIN CAPITAL LETTER O WITH HORN AND TILDE
1EE3 	1EE2 	LATIN SMALL LETTER O WITH HORN AND DOT BELOW 	LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW
1EE5 	1EE4 	LATIN SMALL LETTER U WITH DOT BELOW 	LATIN CAPITAL LETTER U WITH DOT BELOW
1EE7 	1EE6 	LATIN SMALL LETTER U WITH HOOK ABOVE 	LATIN CAPITAL LETTER U WITH HOOK ABOVE
1EE9 	1EE8 	LATIN SMALL LETTER U WITH HORN AND ACUTE 	LATIN CAPITAL LETTER U WITH HORN AND ACUTE
1EEB 	1EEA 	LATIN SMALL LETTER U WITH HORN AND GRAVE 	LATIN CAPITAL LETTER U WITH HORN AND GRAVE
1EED 	1EEC 	LATIN SMALL LETTER U WITH HORN AND HOCK ABOVE 	LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE
1EEF 	1EEE 	LATIN SMALL LETTER U WITH HORN AND TILDE 	LATIN CAPITAL LETTER U WITH HORN AND TILDE
1EF1 	1EF0 	LATIN SMALL LETTER U WITH HORN AND DOT BELOW 	LATIN CAPITAL LETTER U WITH HORN AND DOT BELOW
1EF3 	1EF2 	LATIN SMALL LETTER Y WITH GRAVE 	LATIN CAPITAL LETTER Y WITH GRAVE
1EF5 	1EF4 	LATIN SMALL LETTER Y WITH DOT BELOW 	LATIN CAPITAL LETTER Y WITH DOT BELOW
1EF7 	1EF6 	LATIN SMALL LETTER Y WITH HOOK ABOVE 	LATIN CAPITAL LETTER Y WITH HOOK ABOVE
1EF9 	1EF8 	LATIN SMALL LETTER Y WITH TILDE 	LATIN CAPITAL LETTER Y WITH TILDE
1F00 	1F08 	GREEK SMALL LETTER ALPHA WITH PSILI 	GREEK CAPITAL LETTER ALPHA WITH PSILI
1F01 	1F09 	GREEK SMALL LETTER ALPHA WITH DASIA 	GREEK CAPITAL LETTER ALPHA WITH DASIA
1F02 	1F0A 	GREEK SMALL LETTER ALPHA WITH PSILI AND VARIA 	GREEK CAPITAL LETTER ALPHA WITH PSILI AND VARIA
1F03 	1F0B 	GREEK SMALL LETTER ALPHA WITH DASIA AND VARIA 	GREEK CAPITAL LETTER ALPHA WITH DASIA AND VARIA
1F04 	1F0C 	GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA 	GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA
1F05 	1F0D 	GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA 	GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA
1F06 	1F0E 	GREEK SMALL LETTER ALPHA WITH PSILI AND PERISPOMENI 	GREEK CAPITAL LETTER ALPHA WITH PSILI AND PERISPOMENI
1F07 	1F0F 	GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI 	GREEK CAPITAL LETTER ALPHA WITH DASIA AND PERISPOMENI
1F10 	1F18 	GREEK SMALL LETTER EPSILON WITH PSILI 	GREEK CAPITAL LETTER EPSILON WITH PSILI
1F11 	1F19 	GREEK SMALL LETTER EPSILON WITH DASIA 	GREEK CAPITAL LETTER EPSILON WITH DASIA
1F12 	1F1A 	GREEK SMALL LETTER EPSILON WITH PSILI AND VARIA 	GREEK CAPITAL LETTER EPSILON WITH PSILI AND VARIA
1F13 	1F1B 	GREEK SMALL LETTER EPSILON WITH DASIA AND VARIA 	GREEK CAPITAL LETTER EPSILON WITH DASIA AND VARIA
1F14 	1F1C 	GREEK SMALL LETTER EPSILON WITH PSILI AND OXIA 	GREEK CAPITAL LETTER EPSILON WITH PSILI AND OXIA
1F15 	1F1D 	GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA 	GREEK CAPITAL LETTER EPSILON WITH DASIA AND OXIA
1F20 	1F28 	GREEK SMALL LETTER ETA WITH PSILI 	GREEK CAPITAL LETTER ETA WITH PSILI
1F21 	1F29 	GREEK SMALL LETTER ETA WITH DASIA 	GREEK CAPITAL LETTER ETA WITH DASIA
1F22 	1F2A 	GREEK SMALL LETTER ETA WITH PSILI AND VARIA 	GREEK CAPITAL LETTER ETA WITH PSILI AND VARIA
1F23 	1F2B 	GREEK SMALL LETTER ETA WITH DASIA AND VARIA 	GREEK CAPITAL LETTER ETA WITH DASIA AND VARIA
1F24 	1F2C 	GREEK SMALL LETTER ETA WITH PSILI AND OXIA 	GREEK CAPITAL LETTER ETA WITH PSILI AND OXIA
1F25 	1F2D 	GREEK SMALL LETTER ETA WITH DASIA AND OXIA 	GREEK CAPITAL LETTER ETA WITH DASIA AND OXIA
1F26 	1F2E 	GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI 	GREEK CAPITAL LETTER ETA WITH PSILI AND PERISPOMENI
1F27 	1F2F 	GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI 	GREEK CAPITAL LETTER ETA WITH DASIA AND PERISPOMENI
1F30 	1F38 	GREEK SMALL LETTER IOTA WITH PSILI 	GREEK CAPITAL LETTER IOTA WITH PSILI
1F31 	1F39 	GREEK SMALL LETTER IOTA WITH DASIA 	GREEK CAPITAL LETTER IOTA WITH DASIA
1F32 	1F3A 	GREEK SMALL LETTER IOTA WITH PSILI AND VARIA 	GREEK CAPITAL LETTER IOTA WITH PSILI AND VARIA
1F33 	1F3B 	GREEK SMALL LETTER IOTA WITH DASIA AND VARIA 	GREEK CAPITAL LETTER IOTA WITH DASIA AND VARIA
1F34 	1F3C 	GREEK SMALL LETTER IOTA WITH PSILI AND OXIA 	GREEK CAPITAL LETTER IOTA WITH PSILI AND OXIA
1F35 	1F3D 	GREEK SMALL LETTER IOTA WITH DASIA AND OXIA 	GREEK CAPITAL LETTER IOTA WITH DASIA AND OXIA
1F36 	1F3E 	GREEK SMALL LETTER IOTA WITH PSILI AND PERISPOMENI 	GREEK CAPITAL LETTER IOTA WITH PSILI AND PERISPOMENI
1F37 	1F3F 	GREEK SMALL LETTER IOTA WITH DASIA AND PERISPOMENI 	GREEK CAPITAL LETTER IOTA WITH DASIA AND PERISPOMENI
1F40 	1F48 	GREEK SMALL LETTER OMICRON WITH PSILI 	GREEK CAPITAL LETTER OMICRON WITH PSILI
1F41 	1F49 	GREEK SMALL LETTER OMICRON WITH DASIA 	GREEK CAPITAL LETTER OMICRON WITH DASIA
1F42 	1F4A 	GREEK SMALL LETTER OMICRON WITH PSILI AND VARIA 	GREEK CAPITAL LETTER OMICRON WITH PSILI AND VARIA
1F43 	1F4B 	GREEK SMALL LETTER OMICRON WITH DASIA AND VARIA 	GREEK CAPITAL LETTER OMICRON WITH DASIA AND VARIA
1F44 	1F4C 	GREEK SMALL LETTER OMICRON WITH PSILI AND OXIA 	GREEK CAPITAL LETTER OMICRON WITH PSILI AND OXIA
1F45 	1F4D 	GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA 	GREEK CAPITAL LETTER OMICRON WITH DASIA AND OXIA
1F51 	1F59 	GREEK SMALL LETTER UPSILON WITH DASIA 	GREEK CAPITAL LETTER UPSILON WITH OASIS
1F53 	1F5B 	GREEK SMALL LETTER UPSILON WITH DASIA AND VARIA 	GREEK CAPITAL LETTER UPSILON WITH DASIA AND VARIA
1F55 	1F5D 	GREEK SMALL LETTER UPSILON WITH DASIA AND OXIA 	GREEK CAPITAL LETTER UPSILON WITH DASIA AND OXIA
1F57 	1F5F 	GREEK SMALL LETTER UPSILON WITH DASIA AND PERISPOMENI 	GREEK CAPITAL LETTER UPSILON WITH DASIA AND PERISPOMENI
1F60 	1F68 	GREEK SMALL LETTER OMEGA WITh PSILI 	GREEK CAPITAL LETTER OMEGA WITH PSILI
1F61 	1F69 	GREEK SMALL LETTER OMEGA WITH DASIA 	GREEK CAPITAL LETTER OMEGA WITH DASIA
1F62 	1F6A 	GREEK SMALL LETTER OMEGA WITH PSILI AND VARIA 	GREEK CAPITAL LETTER OMEGA WITH PSILI AND VARIA
1F63 	1F6B 	GREEK SMALL LETTER OMEGA WITH DASIA AND VARIA 	GREEK CAPITAL LETTER OMEGA WITH DASIA AND VARIA
1F64 	1F6C 	GREEK SMALL LETTER OMEGA WITH PSILI AND OXIA 	GREEK CAPITAL LETTER OMEGA WITH PSILI AND OXIA
1F65 	1F6D 	GREEK SMALL LETTER OMEGA WITH DASIA AND OXIA 	GREEK CAPITAL LETTER OMEGA WITH DASIA AND OXIA
1F66 	1F6E 	GREEK SMALL LETTER OMEGA WITH PSILI AND PERISPOMENI 	GREEK CAPITAL LETTER OMEGA WITH PSILI AND PERISPOMENI
1F67 	1F6F 	GREEK SMALL LETTER OMEGA WITH DASIA AND PERISPOMENI 	GREEK CAPITAL LETTER OMEGA WITH DASIA AND PERISPOMENI
1F80 	1F88 	GREEK SMALL LETTER ALPHA WITH PSILI AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER ALPHA WITh PSILI AND PROSGEGRAMMENI
1F81 	1F89 	GREEK SMALL LETTER ALPHA WITH DASIA AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER ALPHA WITH DASIA AND PROSGEGRAMMENI
1F82 	1F8A 	GREEK SMALL LETTER ALPHA WITH PSILI AND VARIA AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER ALPHA WITH PSILI AND VARIA AND PROSGEGRAMMENI
1F83 	1F8B 	GREEK SMALL LETTER ALPHA WITH DASIA AND VARIA AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER ALPHA WITH DASIA AND VARIA AND PROSGEGRAMMENI
1F84 	1F8C 	GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA AND PROSGEGRAMMEN
1F85 	1F8D 	GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER ALPHA WITH DASIA AND OXIA AND PROSGEGRAMMEN
1F86 	1F8E 	GREEK SMALL LETTER ALPHA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER ALPHA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
1F87 	1F8F 	GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER ALPHA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
1F90 	1F98 	GREEK SMALL LETTER ETA WITH PSILI AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER ETA WITH PSILI AND PROSGEGRAMMENI
1F91 	1F99 	GREEK SMALL LETTER ETA WITH DASIA AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER ETA WITH DASIA AND PROSGEGRAMMENI
1F92 	1F9A 	GREEK SMALL LETTER ETA WITH PSILI AND VARIA AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER ETA WITH PSILI AND VARIA AND PROSGEGRAMMENI
1F93 	1F9B 	GREEK SMALL LETTER ETA WITH DASIA AND VARIA AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER ETA WITH DASIA AND VARIA AND PROSGEGRAMMENI
1F94 	1F9C 	GREEK SMALL LETTER ETA WITH PSILI AND OXIA AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER ETA WITH PSILI AND OXIA AND PROSGEGRAMMENI
1F95 	1F9D 	GREEK SMALL LETTER ETA WITH DASIA AND OXIA AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER ETA WITH DASIA AND OXIA AND PROSGEGRAMMENI
1F96 	1F9E 	GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER ETA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
1F97 	1F9F 	GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER ETA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
1FA0 	1FA8 	GREEK SMALL LETTER OMEGA WITH PSILI AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER OMEGA WITH PSILI AND PROSGEGRAMMENI
1FA1 	1FA9 	GREEK SMALL LETTER OMEGA WITH DASIA AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER OMEGA WITH DASIA AND PROSGEGRAMMENI
1FA2 	1FAA 	GREEK SMALL LETTER OMEGA WITH PSILI AND VARIA AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER OMEGA WITH PSILI AND VARIA AND PROSGEGRAMMENI
1FA3 	1FAB 	GREEK SMALL LETTER OMEGA WITH DASIA AND VARIA AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER OMEGA WITH DASIA AND VARIA AND PROSGEGRAMMENI
1FA4 	1FAC 	GREEK SMALL LETTER OMEGA WITH PSILI AND OXIA AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER OMEGA WITH PSILI AND OXIA AND PROSGEGRAMMENI
1FA5 	1FAD 	GREEK SMALL LETTER OMEGA WITH DASIA AND OXIA AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER OMEGA WITH DASIA AND OXIA AND PROSGEGRAMMENI
1FA6 	1FAE 	GREEK SMALL LETTER OMEGA WITh PSILI AND PERISPOMENI AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER OMEGA WITH PSILI AND PERISPOMENI AND PROSGEGRAMMENI
1FA7 	1FAF 	GREEK SMALL LETTER OMEGA WITH DASIA AND PEPISPOMENI AND YPOGEGRAMMENI 	GREEK CAPITAL LETTER OMECA WITH DASIA AND PERISPOMENI AND PROSGEGRAMMENI
1FB0 	1FB8 	GREEK SMALL LETTER ALPHA WITH VRACHY 	GREEK CAPITAL LETTER ALPHA WITH VRACHY
1FB1 	1FB9 	GREEK SMALL LETTER ALPHA WITH MACRON 	GREEK CAPITAL LETTER ALPHA WITH MACRON
1FD0 	1FD8 	GREEK SMALL LETTER IOTA WITH VRACHY 	GREEK CAPITAL LETTER IOTA WITH VRACHY
1FD1 	1FD9 	GREEK SMALL LETTER IOTA WITH MACRON 	GREEK CAPITAL LETTER IOTA WITH MACRON
1FE0 	1FE8 	GREEK SMALL LETTER UPSILON WITH VRACHY 	GREEK CAPITAL LETTER UPSILON WITH VRACHY
1FE1 	1FE9 	GREEK SMALL LETTER UPSILON WITH MACRON 	GREEK CAPITAL LETTER UPSILON WITH MACRON
24D0 	24B6 	CIRCLED LATIN SMALL LETTER A 	CIRCLED LATIN CAPITAL LETTER A
24D1 	24B7 	CIRCLED LATIN SMALL LETTER B 	CIRCLED LATIN CAPITAL LETTER B
24D2 	24B8 	CIRCLED LATIN SMALL LETTER C 	CIRCLED LATIN CAPITAL LETTER C
24D3 	24B9 	CIRCLED LATIN SMALL LETTER D 	CIRCLED LATIN CAPITAL LETTER D
24D4 	24BA 	CIRCLED LATIN SMALL LETTER E 	CIRCLED LATIN CAPITAL LETTER E
24D5 	24BB 	CIRCLED LATIN SMALL LETTER F 	CIRCLED LATIN CAPITAL LETTER F
24D6 	24BC 	CIRCLED LATIN SMALL LETTER G 	CIRCLED LATIN CAPITAL LETTER G
24D7 	24BD 	CIRCLED LATIN SMALL LETTER H 	CIRCLED LATIN CAPITAL LETTER H
24D8 	24BE 	CIRCLED LATIN SMALL LETTER I 	CIRCLED LATIN CAPITAL LETTER I
24D9 	24BF 	CIRCLED LATIN SMALL LETTER J 	CIRCLED LATIN CAPITAL LETTER J
24DA 	24C0 	CIRCLED LATIN SMALL LETTER K 	CIRCLED LATIN CAPITAL LETTER K
24DB 	24C1 	CIRCLED LATIN SMALL LETTER L 	CIRCLED LATIN CAPITAL LETTER L
24DC 	24C2 	CIRCLED LATIN SMALL LETTER M 	CIRCLED LATIN CAPITAL LETTER M
24DD 	24C3 	CIRCLED LATIN SMALL LETTER N 	CIRCLED LATIN CAPITAL LETTER N
24DE 	24C4 	CIRCLED LATIN SMALL LETTER O 	CIRCLED LATIN CAPITAL LETTER O
24DF 	24C5 	CIRCLED LATIN SMALL LETTER P 	CIRCLED LATIN CAPITAL LETTER P
24E0 	24C6 	CIRCLED LATIN SMALL LETTER Q 	CIRCLED LATIN CAPITAL LETTER Q
24E1 	24C7 	CIRCLED LATIN SMALL LETTER R 	CIRCLED LATIN CAPITAL LETTER R
24E2 	24C8 	CIRCLED LATIN SMALL LETTER S 	CIRCLED LATIN CAPITAL LETTER S
24E3 	24C9 	CIRCLED LATIN SMALL LETTER T 	CIRCLED LATIN CAPITAL LETTER T
24E4 	24CA 	CIRCLED LATIN SMALL LETTER U 	CIRCLED LATIN CAPITAL LETTER U
24E5 	24CB 	CIRCLED LATIN SMALL LETTER V 	CIRCLED LATIN CAPITAL LETTER V
24E6 	24CC 	CIRCLED LATIN SMALL LETTER W 	CIRCLED LATIN CAPITAL LETTER W
24E7 	24CD 	CIRCLED LATIN SMALL LETTER X 	CIRCLED LATIN CAPITAL LETTER X
24E8 	24CE 	CIRCLED LATIN SMALL LETTER Y 	CIRCLED LATIN CAPITAL LETTER Y
24E9 	24CF 	CIRCLED LATIN SMALL LETTER Z 	CIRCLED LATIN CAPITAL LETTER Z
FF41 	FF21 	FULLWIDTH LATIN SMALL LETTER A 	FULLWIDTH LATIN CAPITAL LETTER A
FF42 	FF22 	FULLWIDTH LATIN SMALL LETTER B 	FULLWIDTH LATIN CAPITAL LETTER B
FF43 	FF23 	FULLWIDTH LATIN SMALL LETTER C 	FULLWIDTH LATIN CAPITAL LETTER C
FF44 	FF24 	FULLWIDTH LATIN SMALL LETTER D 	FULLWIDTH LATIN CAPITAL LETTER D
FF45 	FF25 	FULLWIDTH LATIN SMALL LETTER E 	FULLWIDTH LATIN CAPITAL LETTER E
FF46 	FF26 	FULLWIDTH LATIN SMALL LETTER F 	FULLWIDTH LATIN CAPITAL LETTER F
FF47 	FF27 	FULLWIDTH LATIN SMALL LETTER G 	FULLWIDTH LATIN CAPITAL LETTER G
FF48 	FF28 	FULLWIDTH LATIN SMALL LETTER H 	FULLWIDTH LATIN CAPITAL LETTER H
FF49 	FF29 	FULLWIDTH LATIN SMALL LETTER I 	FULLWIDTH LATIN CAPITAL LETTER I
FF4A 	FF2A 	FULLWIDTH LATIN SMALL LETTER J 	FULLWIDTH LATIN CAPITAL LETTER J
FF4B 	FF2B 	FULLWIDTH LATIN SMALL LETTER K 	FULLWIDTH LATIN CAPITAL LETTER K
FF4C 	FF2C 	FULLWIDTH LATIN SMALL LETTER L 	FULLWIDTH LATIN CAPITAL LETTER L
FF4D 	FF2D 	FULLWIDTH LATIN SMALL LETTER M 	FULLWIDTH LATIN CAPITAL LETTER M
FF4E 	FF2E 	FULLWIDTH LATIN SMALL LETTER N 	FULLWIDTH LATIN CAPITAL LETTER N
FF4F 	FF2F 	FULLWIDTH LATIN SMALL LETTER O 	FULLWIDTH LATIN CAPITAL LETTER O
FF50 	FF30 	FULLWIDTH LATIN SMALL LETTER P 	FULLWIDTH LATIN CAPITAL LETTER P
FF51 	FF31 	FULLWIDTH LATIN SMALL LETTER Q 	FULLWIDTH LATIN CAPITAL LETTER Q
FF52 	FF32 	FULLWIDTH LATIN SMALL LETTER R 	FULLWIDTH LATIN CAPITAL LETTER R
FF53 	FF33 	FULLWIDTH LATIN SMALL LETTER S 	FULLWIDTH LATIN CAPITAL LETTER S
FF54 	FF34 	FULLWIDTH LATIN SMALL LETTER T 	FULLWIDTH LATIN CAPITAL LETTER T
FF55 	FF35 	FULLWIDTH LATIN SMALL LETTER U 	FULLWIDTH LATIN CAPITAL LETTER U
FF56 	FF36 	FULLWIDTH LATIN SMALL LETTER V 	FULLWIDTH LATIN CAPITAL LETTER V
FF57 	FF37 	FULLWIDTH LATIN SMALL LETTER W 	FULLWIDTH LATIN CAPITAL LETTER W
FF58 	FF38 	FULLWIDTH LATIN SMALL LETTER X 	FULLWIDTH LATIN CAPITAL LETTER X
FF59 	FF39 	FULLWIDTH LATIN SMALL LETTER Y 	FULLWIDTH LATIN CAPITAL LETTER Y
FF5A 	FF3A 	FULLWIDTH LATIN SMALL LETTER Z 	FULLWIDTH LATIN CAPITAL LETTER Z

